fecha_factura	id_b2b	municipio	zona	categoria_b2b_macro	categoria_b2b	subcategoria_b2b	producto	valor_total	alineación con portafolio estratégico b2b
2007-01-03	B2B_01	MADRID	CUNDINAMARCA	cat_b2b_macro_1	cat_b2b_1	sub_b2b_1	Producto_1	1819.9311919999998	0.00021572122884083188
2007-01-03	B2B_01	MADRID	CUNDINAMARCA	cat_b2b_macro_1	cat_b2b_1	sub_b2b_1	Producto_2	1713.3593819999999	7.665786416080686e-05
2007-01-04	B2B_02	VILLA DE LEYVA	BOYACA	cat_b2b_macro_2	cat_b2b_3	sub_b2b_3	Producto_4	208.510406	6.876446415820609e-05
2007-01-04	B2B_02	VILLA DE LEYVA	BOYACA	cat_b2b_macro_1	cat_b2b_1	sub_b2b_11	Producto_13	3319.4498519999997	0.0003081497566374441
2007-01-04	B2B_02	VILLA DE LEYVA	BOYACA	cat_b2b_macro_1	cat_b2b_1	sub_b2b_12	Producto_14	4945.685288	0.00010970281950944873
2007-01-04	B2B_02	VILLA DE LEYVA	BOYACA	cat_b2b_macro_1	cat_b2b_1	sub_b2b_12	Producto_15	4219.9675959999995	3.3893994372747306e-05
2007-01-04	B2B_02	VILLA DE LEYVA	BOYACA	cat_b2b_macro_1	cat_b2b_1	sub_b2b_12	Producto_16	4509.0065939999995	0.00024871864140813454
2007-01-04	B2B_02	VILLA DE LEYVA	BOYACA	cat_b2b_macro_1	cat_b2b_8	sub_b2b_11	Producto_17	1832.9552659999997	0.00034138199045606165
2007-01-04	B2B_02	VILLA DE LEYVA	BOYACA	cat_b2b_macro_1	cat_b2b_8	sub_b2b_12	Producto_18	1426.680868	0.0003077628979265179
2007-01-04	B2B_02	VILLA DE LEYVA	BOYACA	cat_b2b_macro_1	cat_b2b_8	sub_b2b_12	Producto_19	3692.2406759999994	0.00031486577708132046
2007-01-04	B2B_01	MADRID	CUNDINAMARCA	cat_b2b_macro_2	cat_b2b_2	sub_b2b_13	Producto_20	89.20440599999999	0.00016863428059820274
2007-01-04	B2B_01	MADRID	CUNDINAMARCA	cat_b2b_macro_2	cat_b2b_2	sub_b2b_13	Producto_21	60.204173999999995	0.00010010455461111383
2007-01-04	B2B_01	MADRID	CUNDINAMARCA	cat_b2b_macro_2	cat_b2b_2	sub_b2b_13	Producto_22	40.542348	-5.525550853640741e-05
2007-01-04	B2B_01	MADRID	CUNDINAMARCA	cat_b2b_macro_2	cat_b2b_2	sub_b2b_13	Producto_23	55.622232	3.7967985534992554e-05
2007-01-04	B2B_01	MADRID	CUNDINAMARCA	cat_b2b_macro_2	cat_b2b_9	sub_b2b_14	Producto_24	210.36605799999998	0.00015571632927589488
2007-01-04	B2B_01	MADRID	CUNDINAMARCA	cat_b2b_macro_2	cat_b2b_3	sub_b2b_3	Producto_25	182.84482599999998	0.0001258512950210579
2007-01-04	B2B_01	MADRID	CUNDINAMARCA	cat_b2b_macro_2	cat_b2b_4	sub_b2b_15	Producto_26	570.2560579999999	0.00024956130598440744
2007-01-04	B2B_01	MADRID	CUNDINAMARCA	cat_b2b_macro_2	cat_b2b_4	sub_b2b_15	Producto_27	486.9094779999999	0.00020780683362257326
2007-01-04	B2B_01	MADRID	CUNDINAMARCA	cat_b2b_macro_2	cat_b2b_4	sub_b2b_3	Producto_28	80.910174	0.0002669430044236464
2007-01-04	B2B_01	MADRID	CUNDINAMARCA	cat_b2b_macro_4	cat_b2b_10	sub_b2b_16	Producto_29	203.695768	0.00027959332584661257
2007-01-04	B2B_01	MADRID	CUNDINAMARCA	cat_b2b_macro_1	cat_b2b_8	sub_b2b_12	Producto_30	1357.009122	0.00031032421816247746
2007-01-04	B2B_01	MADRID	CUNDINAMARCA	cat_b2b_macro_1	cat_b2b_8	sub_b2b_12	Producto_31	1153.8250879999998	0.0003156766335557439
2007-01-04	B2B_01	MADRID	CUNDINAMARCA	cat_b2b_macro_1	cat_b2b_8	sub_b2b_12	Producto_32	1314.71761	0.00036597386501273073
2007-01-04	B2B_01	MADRID	CUNDINAMARCA	cat_b2b_macro_1	cat_b2b_8	sub_b2b_12	Producto_19	1384.5904999999998	0.00031486589567384727
